code,tin,name_ru
AN-220002,203736168,А.Жоми
AN-220003,200277195,Ибн Сино
AN-220004,200277211,Янги Кургон
AN-220007,200277132,Навроз
AN-220008,200277100,Устоз
AN-220010,200277124,Нурли ёгду
AN-220013,200277149,Шахрихонсой
AN-220015,200277188,Олтин Води
AN-220017,203700878,Учкун
AN-220018,203700861,Маъмуробод
AN-220019,203700885,Коткар
AN-220020,203700893,З.М.Бобур
AN-220023,203700957,Хожатепа
AN-220024,203700964,Коштепа
AN-220025,203700972,Тошлок
AN-220026,203700918,Ифтихор
AN-220028,203700940,Ижтимоят
AN-220029,203819894,Ешонобод
AN-220030,203819879,Навнихол
AN-220031,203819830,Турон замин
AN-220032,203819847,Норбота
AN-220034,203819886,Намуна
AN-220036,203819902,Олтинсой
AN-220037,203819934,Дехкончек
AN-220038,203819926,Торачек
AN-220040,203819919,Озод
AN-220041,203826783,Зарбулок
AN-220042,203826751,Дардоктепа
AN-220044,203826744,Кизил тукай
AN-220045,203826736,Кирлик
AN-220046,203826704,Навоий
AN-220047,203826712,Нодира
AN-220048,203826775,Найнаво
AN-220049,203826768,Иктисодчи
AN-220050,203700989,Навбахор
AN-220051,203701053,Бирлашган
AN-220053,203701038,Ободон
AN-220054,203701006,Тадбиркор
AN-220055,203700996,Бирлик
AN-220056,203701045,Чорвадор
AN-220058,203819783,Кунчилик
AN-220059,203819775,Хуробод
AN-220061,203819823,Жаннатмакон
AN-220064,203819815,Янги обод
AN-220065,200277171,Юксалиш
AN-220067,202296116,Пахтачи
AN-220069,203891000,Мустакиллик
AN-220072,206954274,Мустакилликнинг 15 йиллиги
AN-220074,202293262,Учтегирмон
AN-17140073,202293294,Шоштепа
AN-17140068,203701014,Янгибостон
AN-17140012,203700933,Дехконобод
AN-17140072,202319797,Амир Темир
AN-17140074,202293286,Ахмад Яссавий
AN-17140015,203826729,Ёртибош
AN-17140077,205553854,Кадрят
AN-17140076,202293279,Мирзо Улугбек
AN-17140067,205553861,Корасув
AN-17140075,202576542,Карвон йули
AN-17140051,203819808,Сохибкирон
AN-224002,202718664,Достлик
AN-224003,202694475,Улугбeк
AN-224004,202718618,Бобур
AN-224005,202718657,Истиклол
AN-224006,202695656,Байналминал
AN-224008,202718696,Бирдамлик
AN-224009,202694468,Беруний
AN-224012,202701085,Камолот
AN-224013,202718601,Узбекистон
AN-224014,202692272,Амир Tемур
AN-224015,202718625,Нурафшон
AN-224016,202718672,Кадрият
AN-224017,305087544,Юксалиш
AN-224018,202692289,Шодлик
AN-224019,202718633,Барака
AN-224020,203003028,Деватаги
AN-224021,203003050,Коракий
AN-224024,203003011,Занкан
AN-224025,203003304,Лабгардон
AN-224026,203003004,Кашкар
AN-224028,203002947,Янгисор
AN-224029,203003043,Олаканот
AN-224030,203003296,Тажриба
AN-224031,203003289,Дастурхончи
AN-224032,203003240,Учтош
AN-224033,203003257,Кадим
AN-224034,203003264,Кипчок
AN-224035,203002954,Коркам
AN-224036,203002994,Обод
AN-224037,203003035,Ахтачи
AN-224038,203002986,Отиш
AN-224039,203003193,Бозарик
AN-224040,203003154,Юкори буз
AN-224041,203003178,Кужган
AN-224042,203003082,Курама
AN-224043,203003107,Гумбаз
AN-224044,203003423,Янгиобод
AN-224045,203003454,Бахрин
AN-224046,203003122,Чонтак
AN-224047,203003099,Турон
AN-224048,203003218,Маркаюз
AN-224049,203003185,Озод
AN-224050,203003067,Фидокор
