code,deleted
SA-401166,true
SA-401174,true
SA-401190,true
SA-401191,true
SA-406007,true
SA-406014,true
SA-406020,true
SA-406022,true
SA-406023,true
SA-406024,true
SA-406026,true
SA-406029,true
SA-406030,true
SA-406031,true
SA-406033,true
SA-407999,true
SA-408999,true
SI-206002,true
SI-206007,true
SI-212006,true
SI-212007,true
SI-212011,true
SI-212013,true
SI-212014,true
SI-212018,true
SI-212024,true
SI-212025,true
SI-212028,true
SI-212031,true
SI-212032,true
SI-212033,true
SI-216004,true
SI-220005,true
SI-220007,true
SI-220012,true
SI-220015,true
SI-220021,true
SI-220024,true
SI-226007,true
SI-226013,true
SI-226014,true
SI-228004,true
SI-228013,true
SI-228016,true
SI-231005,true
SI-231026,true
SI-231030,true
SI-235017,true
SI-235019,true
SI-236999,true
SI-401018,true
SI-401920,true
SI-410002,true
SI-413002,true
SI-413003,true
SI-413004,true
SI-413005,true
SI-414999,true
SI-415999,true
SU-201002,true
SU-201003,true
SU-201006,true
SU-201007,true
SU-201009,true
SU-201024,true
SU-201025,true
SU-201033,true
SU-201034,true
SU-201035,true
SU-201037,true
SU-201047,true
SU-202009,true
SU-202015,true
SU-202020,true
SU-202021,true
SU-202026,true
SU-202027,true
SU-202029,true
SU-202035,true
SU-203003,true
SU-203011,true
SU-203018,true
SU-203020,true
SU-203022,true
SU-204003,true
SU-204012,true
SU-204014,true
SU-204017,true
SU-204020,true
SU-207007,true
SU-207023,true
SU-210010,true
SU-210017,true
SU-210018,true
SU-210026,true
SU-210028,true
SU-210029,true
SU-210031,true
SU-210042,true
SU-210045,true
SU-210048,true
SU-210055,true
SU-210056,true
SU-210060,true
SU-210063,true
SU-210068,true
SU-210074,true
SU-210081,true
SU-210082,true
SU-210083,true
SU-210085,true
SU-210092,true
SU-210093,true
SU-212001,true
SU-212007,true
SU-212011,true
SU-212013,true
SU-212031,true
SU-212043,true
SU-212048,true
SU-212064,true
SU-212066,true
SU-214016,true
SU-214027,true
SU-214028,true
SU-214039,true
SU-214045,true
SU-214050,true
SU-214051,true
SU-214054,true
SU-214055,true
SU-214056,true
SU-214057,true
SU-217002,true
SU-217014,true
SU-217017,true
SU-217022,true
SU-217035,true
SU-217039,true
SU-217048,true
SU-217050,true
SU-217052,true
SU-217054,true
SU-217057,true
SU-220001,true
SU-220005,true
SU-220011,true
SU-220019,true
SU-221015,true
SU-221026,true
SU-221033,true
SU-221034,true
SU-221042,true
SU-221043,true
SU-223015,true
SU-226008,true
SU-226041,true
SU-226046,true
SU-226047,true
SU-227999,true
SU-401002,true
SU-401027,true
SU-402999,true
